title,price
Apple iPhone 13 (128GB) - Midnight,"₹49,299"
Apple iPhone 15 (128 GB) - Black,"₹73,100"
Apple iPhone 13 (128GB) - Starlight,"₹49,299"
Apple iPhone 14 (128 GB) - Midnight,"₹58,999"
Apple iPhone 15 (128 GB) - Blue,"₹73,100"
Apple iPhone 13 (128GB) - Midnight,"₹49,299"
Apple iPhone 13 (128GB) - Pink,"₹49,999"
Apple iPhone 14 (128 GB) - Purple,"₹58,999"
Apple iPhone 14 (128 GB) - Blue,"₹58,999"
Apple iPhone 15 (128 GB) - Green,"₹73,100"
Apple iPhone 13 (128GB) - Green,"₹49,999"
Apple iPhone 15 (256 GB) - Blue,"₹82,600"
Apple iPhone 15 Plus (128 GB) - Blue,"₹82,600"
Apple iPhone 15 Plus (128 GB) - Black,"₹82,600"
Apple iPhone 13 (256GB) - Midnight,"₹59,999"
Apple iPhone 15 Pro Max (256 GB) - Blue Titanium,"₹1,48,900"
Apple iPhone 15 (128 GB) - Pink,"₹73,100"
Apple iPhone 13 (256GB) - Pink,"₹59,999"
